
nome_visitante,identificacao,relacao_com_paciente,nome_paciente
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
identificacao_visitante,nome_paciente
54342632,jose
identificacao_visitante,nome_paciente
92658651,ana
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
isadora,92658651,amiga,joao
isadora,92658651,amiga,joao
carlos,54342632,amigo,jose
isadora,92658651,amiga,joao
isadora,92658651,amiga,joao
